category,location,old,new
Instance property,01 — Director / Feedback + Chat:I93:10487;93:8727;93:8832:Project / Toolbar Action,Icon Type,Icon
Node,01 — Director / Feedback + Chat:I93:10487;93:8727;93:8687:01 — Director / Feedback + Chat/Director / Feedback + Chat/main/feedback-content/header/Project / Toolbar/toolbar-actions/Project / Toolbar,Project / Toolbar,Project / Toolbar Action
Instance property,01 — Director / Feedback + Chat:I93:10487;93:8727;93:8687:Project / Toolbar Action,state,State
Instance property,01 — Director / Feedback + Chat:I93:10487;93:8727;93:8687:Project / Toolbar Action,Icon Type,Icon
Node,01 — Director / Feedback + Chat:I93:10487;93:8727;93:8688:01 — Director / Feedback + Chat/Director / Feedback + Chat/main/feedback-content/header/Project / Toolbar/toolbar-actions/Project / Toolbar,Project / Toolbar,Project / Toolbar Action
Instance property,01 — Director / Feedback + Chat:I93:10487;93:8727;93:8688:Project / Toolbar Action,state,State
Instance property,01 — Director / Feedback + Chat:I93:10487;93:8727;93:8688:Project / Toolbar Action,Icon Type,Icon
Instance property value,01 — Director / Feedback + Chat:I93:10487;93:8727;93:8688:Project / Toolbar Action/Icon,Reresh,Refresh
Node,01 — Director / Feedback + Chat:I93:10487;93:8727;93:8696:01 — Director / Feedback + Chat/Director / Feedback + Chat/main/feedback-content/header/Project / Toolbar/Button,Button,UI / Button
Node,01 — Director / Feedback + Chat:4007:4112:01 — Director / Feedback + Chat/Director / Feedback + Chat/main/feedback-content/Status Bar,Status Bar,UI / Status Bar
Node,01 — Director / Feedback + Chat:93:10488:01 — Director / Feedback + Chat/Director / Feedback + Chat/main/feedback-content/section-imprint,section-imprint,feedback-panel
Node,01 — Director / Feedback + Chat:I93:10488;74:1861:01 — Director / Feedback + Chat/Director / Feedback + Chat/main/feedback-content/feedback-panel/content-left/Feedback / File Box,Feedback / File Box,Feedback / File
Instance property,01 — Director / Feedback + Chat:I93:10488;47:590:photography-input,form,Type
Instance property value,01 — Director / Feedback + Chat:I93:10488;47:590:photography-input/Type,selector,Selector
Node,01 — Director / Feedback + Chat:I93:10488;47:590;73:1190:01 — Director / Feedback + Chat/Director / Feedback + Chat/main/feedback-content/feedback-panel/content-left/photography-input/icon,icon,UI / Icon
Instance property,01 — Director / Feedback + Chat:I93:10488;47:590;73:1190:UI / Icon,icon style,Icon
Instance property value,01 — Director / Feedback + Chat:I93:10488;47:590;73:1190:UI / Icon/Icon,chevron-down,Chevron Down
Instance property,01 — Director / Feedback + Chat:I93:10488;47:593:prompt-selector,form,Type
Instance property value,01 — Director / Feedback + Chat:I93:10488;47:593:prompt-selector/Type,selector,Selector
Node,01 — Director / Feedback + Chat:I93:10488;47:593;73:1190:01 — Director / Feedback + Chat/Director / Feedback + Chat/main/feedback-content/feedback-panel/content-left/prompt-selector/icon,icon,UI / Icon
Instance property,01 — Director / Feedback + Chat:I93:10488;47:593;73:1190:UI / Icon,icon style,Icon
Instance property value,01 — Director / Feedback + Chat:I93:10488;47:593;73:1190:UI / Icon/Icon,chevron-down,Chevron Down
Instance property,01 — Director / Feedback + Chat:I93:10488;47:594:prompt-textarea,form,Type
Instance property value,01 — Director / Feedback + Chat:I93:10488;47:594:prompt-textarea/Type,textarea,Textarea
Instance property,01 — Director / Feedback + Chat:I93:10488;4007:2031:prompt-selector,form,Type
